sujet;texte;Unnamed: 0.15;Unnamed: 0.14;Unnamed: 0.13;Unnamed: 0.12;Unnamed: 0.11;Unnamed: 0.10;Unnamed: 0.9;Unnamed: 0.8;Unnamed: 0.7;Unnamed: 0.6;Unnamed: 0.5;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0
Non au décret pour modifier l’interdiction de destruction du loup ! , le 29 novembre 2023 à 22h24;Non à ce plan. Tous les éleveurs (anciennement bergers) feraient mieux de bénéficier d’aide pour avoir des chiens patou en nombre qui éloignent les loups.  Il y a en France environs 920 LOUPS selon l’Office Français de la Biodiversité. Et il y a des millions de moutons et chèvres en France, proies faciles pour les loups quand ils ne trouvent pas autre chose à manger. Les 1 million et + de chasseurs  français qui « prélèvent » cerfs, chamois, mouflons, chevreuils, sangliers mais aussi lièvres et autres rongeurs, enlèvent la nourriture au loup ! Ces mêmes chasseurs qui bouffent aussi agneaux, bœufs, porc et volailles ! La faune sauvage doit continuer d’être protégée et les éleveurs-bergers (qui ne sont pas souvent chasseurs) mieux soutenus dans leur gagne-pain. Ils peuvent cohabiter avec les loups. Non sans perte mais c’est la Vie ça ! Il n’y a nulle part de risque zéro ! Sauf chez les personnes paranoïaques. Au fait en 2013-2014 les chasseurs ont tué 22 millions d’animaux (gallinacés, colombidés, passereaux, anatidés, limicoles, rongeurs et léporidés, ongulés, carnivores). En 2020, ont été recensées 12000 brebis attaquées par les loups….  Cristina Garelli;;;;;;;;;;;;;;;;
Avis défavorable au Projet d’arrêté pour les préfets concernant le loup, le 29 novembre 2023 à 22h31;"Avis défavorable au Projet d’arrêté fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus). Il y a de nombreux endroits dans le monde où le loup a été réintroduit et a apporté de manière significative, des signes positifs de régulation et de rééquilibre des territoires. La nature n’a pas attendu ""la super intelligence humaine"" pour trouver son équilibre, ni les chasseurs pour réguler les animaux …";;;;;;;;;;;;;;;;
Défavorable au projet de PNA, le 29 novembre 2023 à 22h39;"Je ne suis pas spécialiste mais j’ai le sentiment que ce Plan National d’Action se focalise sur la limitation (et donc l’affaiblissement) de la population des loups dans les zones où le pastoralisme prédomine. Or, nous attendons de ce texte : 1/ qu’il garantisse la conservation de l’espèce ""loup"" sur l’ensemble du territoire français, 2/ qu’il propose des solutions rationnelles de protection des troupeaux, excluant au maximum les tirs létaux. Je demande à nos élus d’écouter les experts qui nous alertent chaque jour au sujet de l’effondrement de la biodiversité, et de ne pas céder au lobby des éleveurs, des chasseurs et de tous les groupes qui défendent leurs petits intérêts au détriment de la vie sauvage.";;;;;;;;;;;;;;;;
Avis défavorable, le 29 novembre 2023 à 22h40;Le texte proposé doit avant tout tenir compte de l’avis des scientifiques et non pas seulement être le reflet de la pensée de certains lobbies. Les activités humaines ne peuvent pas se faire au détriment de la nature, mais doivent s’envisager dans la cohabitation. Les loups en temps qu’espèce prédatrice a son rôle à jouer dans la chaîne alimentaire et dans son équilibre. Il faut donc continuer à le protéger.;;;;;;;;;;;;;;;;
Non au projet de ce nouvel arrêté, le 29 novembre 2023 à 22h41;Bonjour, je demande À ce que Entendus et pris en compte tous Les avis défavorables sur ce nouveau PNA   Non à la modification du statut de protection du loup et à son déclassement d’espèce protégée, (Convention de Berne de 1979 et dans la Directive Habitats de 1992). Non à ces nouvelles dispositions dans l’arrêté cadre qui  sont contraires à un bon état de conservation de l’espèc.   Il s’agit d’un précédent inacceptable dans un PNA, qui ouvre une brèche inquiétante dans le domaine de la protection de la faune sauvage.;;;;;;;;;;;;;;;;
contre le plan anti-loup du gouvernement, le 29 novembre 2023 à 22h42;Alors que ce PNA devrait viser l’atteinte du bon état de conservation de l’espèce en France tout en assurant le soutien et l’accompagnement du pastoralisme, il n’est fait mention que des impacts négatifs de la présence du loup et non des bénéfices écologiques qu’elle apporte. La LPO demande l’abandon de ce projet et le retour à un texte plus équilibré, prenant en compte les avis scientifiques et les travaux du Groupe National Loup.;;;;;;;;;;;;;;;;
Contre le PNA 2024-2029 et ce projet d’arrêté, le 29 novembre 2023 à 22h51;Comme souvent l’Etat fait ce qu’il veut sans prendre en compte l’avis de personnes compétentes et notamment du Conseil National de Protection de la Nature, qui s’est opposé à la quasi unanimité contre ce projet d’arrêté (16 voix contre et 1 voix pour) ! Le bilan de l’ancien PNA n’a même pas été réalisé et l’Etat veut imposer des mesures sans se soucier de savoir si elles sont pertinentes ! Quelle pitié !;;;;;;;;;;;;;;;;
Avis plus que défavorable à ce PNA , le 29 novembre 2023 à 22h51;A chaque instant que le loup a été chassé, il a été réintroduit suite à sa perte évidente. L’utilité du loup dans les écosystèmes est reconnue d’où sa protection dans le monde des mammifères. Le loup a prouvé à maintes reprises son efficacité dans la régulation de la faune. Le loup est un des rares animal à pouvoir s’attaquer au sanglier dont ce dernier fait plus de ravage que n’importe quel animal dans les cultures. Pourquoi chercher à exterminer une fois de plus une espèce si importante. Sa perte pourrait engendrer des conséquences irréversibles dans l’équilibre des écosystèmes de notre monde vivant. Le loup n’a pas de supermarché pour se nourrir alors il faut l’aider à cohabiter avec les humains qui eux ne se soucient que de leur confort égoïste. Il y a des pays comme l’Italie qui cohabitent très bien avec le loup en aménageant des espaces, des clôtures et autres moyens. S’en donner la peine vaudrait le coup et serait bien plus réfléchi et intelligent que de se contenter de tirer sur cet humble animal. Il doit avoir sa place comme tous les êtres vivants. Vive ce bel, majestueux et fascinant animal que le loup ! Il en dépend de vous et nous comptons sur votre bonne décision.;;;;;;;;;;;;;;;;
Stop, le 29 novembre 2023 à 22h52;Contre le plan anti loups.  Stop aux massacres des espèces sauvages !!! Oui à la préservée du loup, de l’Ours, du lynx…..;;;;;;;;;;;;;;;;
"Opposition au projet d’arrêté , le 29 novembre 2023 à 21h48
, le 29 novembre 2023 à 21h49";Au vu de l‘avis très clair du cnpn.;;;;;;;;;;;;;;;;
Avis défavorable, le 29 novembre 2023 à 21h50;Le sauvage et la nature de plus en plus absents dans nos sociétés hyperconnectées et hyper-urbanisées. Nous manquons cruellement de prédateurs pour certains ravageurs ( chevreuils…). Ce projet d’arrêté va à l’encontre de la logique de protection des populations de loups décidée au niveau européen. Une agricultrice bio de l’Allier;;;;;;;;;;;;;;;;
Totalement contre ce projet., le 29 novembre 2023 à 21h50;Ce projet est aberrant.  N’avons -nous pas évoluer ?  Tandis que d’autres pays ont su d’adapter à la coexistence avec les prédateurs, nous nous octroyons un droit sur la biodiversité ?  Les moyens de faire coexister pastoralisme et loups existent et fonctionnent. Il faut accepter de ne pas avoir un droit de supériorité et d’éradication sur tout ce qui dérange l’homme. Il faut accepter de ne pas avoir le contrôle sur tout… et surtout pas sur la Nature. A bon entendeur…;;;;;;;;;;;;;;;;
Non au projet d’arrêté, le 29 novembre 2023 à 21h43;Comment se fait-il qu’en traversant la frontière italienne ou espagnole dans le même massif, le pastoralisme s’adapte et cohabite avec le loup? N’est-ce pas parce que les chasseurs détruisent les proies habituelles des loups pour leur jouissance, qu’ils descendent vers les troupeaux?;;;;;;;;;;;;;;;;
Avis défavorable, le 29 novembre 2023 à 21h48;L’homme fait partie d’un écosystème, il n’est pas l’écosystème;;;;;;;;;;;;;;;;
Cherchons des solutions durables, pas la destruction !, le 29 novembre 2023 à 21h48;Se livrer à un abattage de loups, espèce considérée comme ’’vulnérable’’, équivaut à une énième destruction d’espèce sauvage. Souhaitons - nous vraiment ceci ? Souhaitons-nous nous illustrer, encore une fois, par notre incapacité à penser autrement que sur  le très court terme ?;;;;;;;;;;;;;;;;
Opposition au projet d’arrêté , le 29 novembre 2023 à 21h43;Au vu de l‘avis très clair du cnpn.;;;;;;;;;;;;;;;;
Opposition au projet d’arrêté, le 29 novembre 2023 à 21h40;"Comment justifier un projet d’arrêté qui nous ramène 150 ans en arrière ? Le CNPN donne un avis défavorable et l’on imagine passer outre. Le loup est un maillon essentiel des chaines alimentaires sur nos territoires, le supprimer revient à créer un déséquilibre qui ne favorisera personne. Il aurait été plus intéressant de profiter des études d’impact afin d’essayer de créer un compromis plutôt que de s’appuyer sur une idéologie passéiste qui veut que la nature doit être vide de prédateurs. Il serait temps de sortir du dogme absolu ""anti loup"" pour se mettre au niveau des autres pays du monde. Signé : un professionnel de la montagne";;;;;;;;;;;;;;;;
avis defavorable d’un agriculteur bio, chasseur, et protecteur LPO de la nature depuis toujours, le 29 novembre 2023 à 21h41;"Bonjour, Les moyens de protection des troupeaux et de surveillance  dont nous disposons aujourd’hui sont largement suffisant pour permettre de laisser cohabiter éleveurs et grands prédateurs. Encore faut il se donner les moyens de les mettre en oeuvre correctement comme c’est le cas dans les pays frontaliers. Tirer sur des loups, c’est comme faire crever des "" mauvaises herbes"" avec un herbicide, ou déssimer des population d’insectes avec des insecticides :  c’est la solution de facilité quand on est pas capable, en temps qu’agriculteur, de travailler proprement et respectueusement de la nature. Les bons éleveurs, bien organisés et bons professionnels ( et j’en connais), savent gérer la présence du loup ou de l’ours. Ceux qui ne savent pas le faire ( et j’en connais aussi ) ne sont pas devenu assez pointu, car  ils n’étaient pas assez motivés et écolo. C’est dommage. Et ce serait pour ces "" mauvais élèves"" qu’ils faudrait détruire toujours plus de loup ? Ce serait un aveu de faiblesse. Le loup est un animal très intelligent mais l’homme l’est encore davantage pour arriver gérer ce prédateur respectable sans le détruire comme ce fut le cas par le passé. Tuer du loup légalement trop facilement serait revenir deux siècles en arrière alors que notre planète va mal, nous le savons tous, et que nous devons en prendre soin de plus en plus et dans tous les domaines. L’avis du Conseil National de Protection de la nature est très bien motivé et c’est l’avis qu’il faut suivre. Je n’ai pas besoin d’en reprendre les arguments. Le nouveau plan d’action tel qu’il est établit est une atteinte de plus envers la nature. C’est par notre travail et notre savoir faire d’agriculteur en collaboration avec la nature que nous parvenons a produire les denrées alimentaires animales et végétales nécessaires. La nature sait être généreuse ( même si elle est aussi parfois cruelle) et il faut apprendre a savoir lui rendre une partie de ce qu’elle nous donne. La prédation par le loup ( dont les dégats sont bien indémnisés) est la portion ( raisonnable) de bétail qu’il nous faut accepter de perdre parfois. Temps que les agriculteurs n’aurons pas adopté cet état d’esprit, on en restera a vouloir vivre sans les grands prédateurs , car ils nous concurencent.";;;;;;;;;;;;;;;;
